นิติบุคคลจัดตั้งเดือนมีนาคม  2559,,,,,,,
ทั่วประเทศ,,,,,,,
ลำดับ,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ","รหัส
วัตถุประสงค์",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่
1,0435559000279,บจ.เอ็มอีไอ โซล่าร์ เอนเนอร์จี จำกัด,7/3/2559," 5,000,000 ",46599,ประกอบกิจการจัดหาอุปกรณ์ไฟฟ้า และอุปกรณ์ทั่วไปทุกชนิด,48 หมู่ที่ 9  ต.โพธิ์ชัย อ.เมืองหนองคาย จ.หนองคาย 43000
2,0433559000251,หจ.เอที ไนน์ คอนสตรั่คชั่น,11/3/2559," 3,000,000 ",46632,จำหน่ายไม้แปรรูป ไม้ท่อน ไม้เก่า,161 หมู่ที่ 7  ต.มีชัย อ.เมืองหนองคาย จ.หนองคาย 43000
3,0435559000244,บจ.เจ ดี เบฟเวอเรจ จำกัด,2/3/2559," 2,000,000 ",11049,ประกอบกิจการผลิตและจำหน่าย น้ำดื่ม อาหารสด อาหารแห้ง อาหารแช่แข็งและเครื่องบริโภคอื่น ๆ,354 หมู่ที่ 3  ต.พระธาตุบังพวน อ.เมืองหนองคาย จ.หนองคาย 43000
4,0435559000252,บจ.หนองคาย เอฟที ฟุตบอล จำกัด,4/3/2559," 2,000,000 ",93199,ส่งเสริมและสนับสนุนให้มีการแข่งขันฟุตบอลอาชีพ,555 หมู่ที่ 5  ต.หนองกอมเกาะ อ.เมืองหนองคาย จ.หนองคาย 43000
5,0435559000236,บจ.เซฟเวย์ กรุ๊ป จำกัด,2/3/2559," 1,200,000 ",52291,ประกอบกิจการขนส่งและสถานที่เก็บสินค้า,343 หมู่ที่ 11  ต.หนองกอมเกาะ อ.เมืองหนองคาย จ.หนองคาย 43000
6,0433559000226,หจ.ทีดี พาวเวอร์ ออยล์,3/3/2559," 1,000,000 ",46614,จำหน่ายผลิตภัณฑ์น้ำมันเครื่องที่ใช้กับเครื่องยนต์ทุกชนิด,241 หมู่ที่ 5  ต.หาดคำ อ.เมืองหนองคาย จ.หนองคาย 43000
7,0433559000242,หจ.นฎา โพรไบโอติค,9/3/2559," 1,000,000 ",46109,ประกอบกิจการตัวแทนจำหน่าย สินค้าบริโภค ทุกชนิด,228 หมู่ที่ 3  ต.มีชัย อ.เมืองหนองคาย จ.หนองคาย 43000
8,0433559000285,หจ.สมศิริ อิเลคทริค,21/3/2559," 1,000,000 ",41002,ประกอบกิจการรับเหมาก่อสร้างทุกชนิด,154 หมู่ที่ 4  ต.โพธิ์ชัย อ.เมืองหนองคาย จ.หนองคาย 43000
9,0433559000293,หจ.กุศล 999 (2016),22/3/2559," 1,000,000 ",47524,ประกอบกิจการจำหน่ายหิน กรวด ทราย วัสดุก่อสร้าง เครื่องมือช่างทุกชนิด และงานรับเหมาก่อสร้าง,182/1 หมู่ที่ 9  ต.โพธิ์ชัย อ.เมืองหนองคาย จ.หนองคาย 43000
10,0433559000315,หจ.โฮมดีพลัส,25/3/2559," 1,000,000 ",41002,ประกอบกิจการบริหารงานก่อสร้าง รับออกแบบ รับควบคุมงานก่อสร้าง รับเหมา,405 หมู่ที่ 2  ต.หาดคำ อ.เมืองหนองคาย จ.หนองคาย 43000
11,0433559000323,หจ.2บีบี ก่อสร้าง2016,25/3/2559," 1,000,000 ",41002,รับเหมาก่อสร้าง,114 หมู่ที่ 3  ต.โพธิ์ชัย อ.เมืองหนองคาย จ.หนองคาย 43000
12,0433559000358,หจ.ซูเลียน นครหนองคาย เอเยนซี่,31/3/2559," 1,000,000 ",46900,จำหน่ายเครื่องดื่มธัญญาหารสำเร็จรูป ยาสีฟัน ผงซักฟอก ท่อกรองน้ำ แผ่นติดฝ่าเท้า,307-308 หมู่ที่ 5  ต.หนองกอมเกาะ อ.เมืองหนองคาย จ.หนองคาย 43000
13,0435559000261,บจ.แอ็ดเวล หนองคาย จำกัด,7/3/2559," 1,000,000 ",46900,ประกอบกิจการการขายส่งสินค้าโดยทั่วไป,"301/30,31 หมู่ที่ 4  ต.มีชัย อ.เมืองหนองคาย จ.หนองคาย 43000"
14,0435559000287,บจ.กิตติ์ธีธัช โลจิสติกส์ จำกัด,8/3/2559," 1,000,000 ",49323,ประกอบกิจการขนส่ง และขนถ่ายสินค้า ทั้งภายในประเทศ และระหว่างประเทศ,408/60 หมู่ที่ 11  ต.หาดคำ อ.เมืองหนองคาย จ.หนองคาย 43000
15,0435559000295,บจ.ซอฟท์ เอ็กซ์พีเดี่ยน จำกัด,8/3/2559," 1,000,000 ",62012,ประกอบกิจการบริการพัฒนาซอฟแวร์ เขียนโปรแกรม ออกแบบโปรแกรม สร้างโปรเจค,408/40 หมู่ที่ 11  ต.หาดคำ อ.เมืองหนองคาย จ.หนองคาย 43000
16,0435559000317,บจ.ดวงนารา การบัญชี 99 จำกัด,10/3/2559," 1,000,000 ",69200,ประกอบกิจการรับทำบัญชี จดทะเบียนการค้า จดทะเบียนหุ้นส่วนบริษัท ขอใบอนุญาตทำงาน วีซ่า,87 หมู่ที่ 9  ต.หาดคำ อ.เมืองหนองคาย จ.หนองคาย 43000
17,0435559000333,บจ.ปัญจธนภัทรา จำกัด,22/3/2559," 1,000,000 ",47300,สถานีบริการน้ำมันเชื้อเพลิง,299/127 หมู่ที่ 10  ต.หาดคำ อ.เมืองหนองคาย จ.หนองคาย 43000
18,0435559000341,บจ.ชวัลธนัทร์ จำกัด,22/3/2559," 1,000,000 ",68104,ให้เช่าพื้นที่ขายของ พื้อที่จัดงานแสดง ร้านค้าให้เช่า,299/128 หมู่ที่ 10  ต.หาดคำ อ.เมืองหนองคาย จ.หนองคาย 43000
19,0435559000350,บจ.วรานนทน์ จำกัด,22/3/2559," 1,000,000 ",55101,ทำโรงแรม รีสอร์ โฮมสเตย์ ห้องพัก,299 หมู่ที่ 10  ต.หาดคำ อ.เมืองหนองคาย จ.หนองคาย 43000
20,0435559000368,บจ.เอส.เอ.พี. เมทัลเวิร์ค จำกัด,23/3/2559," 1,000,000 ",25922,ประกอบธุรกิจโรงกลึง รับงานกลึงโลหะ งานกัดโลหะ งานเจียรโลหะ งานไส งานมิลลิ่ง งานเฟือง,29 หมู่ที่ 3  ต.หนองกอมเกาะ อ.เมืองหนองคาย จ.หนองคาย 43000
21,0435559000384,บจ.อู่ทองเจริญยนต์หนองคาย จำกัด,29/3/2559," 1,000,000 ",45201,ประกอบกิจการอู่ซ่อมรถ รวมทั้งรับปะผุ เคาะ พ่นสี ดัดแปลง ต่อตัวถังรถยนต์และรถบบรทุก,410 หมู่ที่ 11  ต.หาดคำ อ.เมืองหนองคาย จ.หนองคาย 43000
22,0435559000392,บจ.เดวา เอ็นเตอร์ไพรส์ จำกัด,30/3/2559," 1,000,000 ",47912,จำหน่ายสินค้าปลีก-ส่ง โดยใช้สื่ออิเล็คทรอนิค ผ่านระบบเครือข่ายอินเตอร์เน็ต,148/34 หมู่ที่ 3  ต.มีชัย อ.เมืองหนองคาย จ.หนองคาย 43000
23,0435559000309,บจ.นุชภูมิ แอนด์ ชาเดีย จำกัด,10/3/2559," 1,000,000 ",14112,ประกอบกิจการผลิตและจำหน่ายเสื้อผ้าสำเร็จรูปทุกชนิด,114 หมู่ที่ 12  ต.ท่าบ่อ อ.ท่าบ่อ จ.หนองคาย 43110
24,0433559000277,หจ.อาราชิ,16/3/2559," 1,000,000 ",47723,ประกอบกิจการค้าเครื่องสำอาง อุปกรณ์เครื่องมือและเครื่องใช้เสริมความงาม,187 หมู่บ้านบ้านหนองควาย หมู่ที่ 2  ต.วังหลวง อ.เฝ้าไร่ จ.หนองคาย 43120
25,0435559000325,บจ.บุญมาทรานสปอร์ต2016 จำกัด,21/3/2559," 1,000,000 ",46639,ประกอบกิจการค้าวัสดุก่อสร้าง อุปกรณ์ หิน ทราย และเครื่องมือใช้ในการก่อสร้าง,259 หมู่ที่ 7  ต.บ้านต้อน อ.รัตนวาปี จ.หนองคาย 43120
26,0433559000307,หจ.เอเจ คอนทรัคชัน,24/3/2559," 1,000,000 ",41002,รับเหมาก่อสร้างทุกชนิด,82 หมู่ที่ 7  ต.พานพร้าว อ.ศรีเชียงใหม่ จ.หนองคาย 43130
27,0433559000234,หจ.สันติพร 2514,4/3/2559," 600,000 ",42101,ประกอบกิจการรับเหมาก่อสร้างถนน สะพาน และอุโมงค์,381/1 หมู่ที่ 4  ต.ท่าบ่อ อ.ท่าบ่อ จ.หนองคาย 43110
28,0433559000269,หจ.กิตติยาซัพพลาย แอนด์ เทรดดิ้ง,14/3/2559," 500,000 ",46900,ประกอบกิจการขายส่งสินค้าทั่วไป,50/49 หมู่ที่ 8  ต.มีชัย อ.เมืองหนองคาย จ.หนองคาย 43000
29,0435559000376,บจ.เขตเจริญ โลจิสติก จำกัด,29/3/2559," 500,000 ",46109,ประกอบกิจการนำเข้าและส่งออก สินค้าอุปโภคบริโภค,109 หมู่ที่ 9  ต.โพธิ์ชัย อ.เมืองหนองคาย จ.หนองคาย 43000
30,0433559000331,หจ.นาคินทร์ เมด,28/3/2559," 500,000 ",47721,จำหน่ายอุปกรณ์ทางการแพทย์ และ ซ่อมบำรุง เปลี่ยนถ่าย แก้ไข ซ่อมแซม,159 หมู่ที่ 20  ต.จุมพล อ.โพนพิสัย จ.หนองคาย 43120
31,0433559000340,หจ.ร่มไทร สำรวจภัย,30/3/2559," 200,000 ",66210,รับตรวจสอบอุบัติเหตุจากบริษัทประกันภัย,234/217 หมู่ที่ 12  ต.โพธิ์ชัย อ.เมืองหนองคาย จ.หนองคาย 43000
1,0443559000251,หจ.ศิริวัฒน์ประปาบาดาล,2/3/2559," 2,000,000 ",43221,รับจ้าง เป่าล้าง พัฒนา ซ่อมแซม ขุดเจาะ ระบบประปา บาดาล,11 ซอยริมคลองชลประทาน ถนนนาเชือก-บรบือ  ต.นาเชือก อ.นาเชือก จ.มหาสารคาม 44170
2,0443559000315,หจ.เอสทีเอส คอนกรีต เซ็นเตอร์,21/3/2559," 1,500,000 ",23959,ผลิตและจำหน่ายคอนกรีตซีเมนต์ทุกชนิด,211 หมู่ที่ 2  ต.บรบือ อ.บรบือ จ.มหาสารคาม 44130
3,0443559000269,หจ.ภัทระอร ก่อสร้าง,2/3/2559," 1,000,000 ",41002,รับเหมาก่อสร้าง,472 หมู่ที่ 14  ต.แวงน่าง อ.เมืองมหาสารคาม จ.มหาสารคาม 44000
4,0443559000307,หจ.เจริญทรัพย์(2016),21/3/2559," 1,000,000 ",41002,รับเหมาก่อสร้าง,92 หมู่ที่ 7  ต.แก่งเลิงจาน อ.เมืองมหาสารคาม จ.มหาสารคาม 44000
5,0443559000340,หจ.อำนาจรัก การโยธา,31/3/2559," 1,000,000 ",41002,รับเหมาก่อสร้าง,472 หมู่ที่ 14  ต.แวงน่าง อ.เมืองมหาสารคาม จ.มหาสารคาม 44000
6,0445559000147,บจ.เอสเอพี เอ็นจิเนียริ่ง แอนด์ ซัพพลาย 2016 จำกัด,15/3/2559," 1,000,000 ",46599,ผลิตชิ้นส่วน จิ๊กซอว์ ฟิกเจอร์ อะไหล่เครื่องจักร เครื่องยนต์ ระบบอัตโนมัติ,291 หมู่ที่ 6  ต.หนองปลิง อ.เมืองมหาสารคาม จ.มหาสารคาม 44000
7,0445559000155,บจ.ซุปเปอร์คอนสตรัคชั่นเอ็นจิเนียริ่งแอนด์ดีไซน์ จำกัด,15/3/2559," 1,000,000 ",41002,รับเหมาก่อสร้าง,227/98 หมู่ที่ 8  ต.เกิ้ง อ.เมืองมหาสารคาม จ.มหาสารคาม 44000
8,0445559000163,บจ.บ้านทุ่งธุรกิจ จำกัด,18/3/2559," 1,000,000 ",41002,รับเหมาก่อสร้าง,499 หมู่ที่ 3 ถนนร้อยเอ็ด-วาปีปทุม  ต.หนองแสง อ.วาปีปทุม จ.มหาสารคาม 44120
9,0443559000277,หจ.แซด คอนเนค เอ,14/3/2559," 1,000,000 ",42202,ให้บริการติดตั้งสายส่งไฟฟ้ากำลัง สายเคเบิล,53 หมู่ที่ 1  ต.นาโพธิ์ อ.กุดรัง จ.มหาสารคาม 44130
10,0443559000331,หจ.เคซีเอสอี วิศวกรรม,28/3/2559," 1,000,000 ",41002,รับเหมาก่อสร้าง,71 หมู่ที่ 7  ต.บรบือ อ.บรบือ จ.มหาสารคาม 44130
11,0443559000323,หจ.รวมทรัพย์มีชัย ก่อสร้าง,24/3/2559," 1,000,000 ",08103,ขุดทราย ดูดทราย ขายทราย,68 หมู่ที่ 12  ต.หนองซอน อ.เชียงยืน จ.มหาสารคาม 44160
12,0445559000171,บจ.ธณัฐชา ปั้นจั่น ไพล์ โมบายล์ จำกัด,24/3/2559," 1,000,000 ",43901,ประกอบกิจการสร้างรากฐาน การตอกเสาเข็มและงานที่เกี่ยวข้อง,97 หมู่ที่ 4  ต.เขวาไร่ อ.นาเชือก จ.มหาสารคาม 44170
13,0443559000293,หจ.เอส ซี เจ เซอร์วิส 2559,18/3/2559," 500,000 ",41002,รับเหมาก่อสร้าง,88 หมู่ที่ 14  ต.ขามเฒ่าพัฒนา อ.กันทรวิชัย จ.มหาสารคาม 44150
14,0443559000285,หจ.ธัญวรัตน์เน็ตเวิร์ค,14/3/2559," 100,000 ",61101,ให้บริการอินเตอร์เน็ต อุปกรณ์ต่อพ่วงและอุปกรณ์ไอที,176 หมู่ที่ 2  ต.ลานสะแก อ.พยัคฆภูมิพิสัย จ.มหาสารคาม 44110
1,0453559000510,หจ.สุขเพสน์เฮ้าส์,30/3/2559," 5,000,000 ",41002,รับเหมาก่อสร้าง,400/9 ถนนรณชัยชาญยุทธ  ต.ในเมือง อ.เมืองร้อยเอ็ด จ.ร้อยเอ็ด 45000
2,0453559000455,หจ.กนก การโยธา,21/3/2559," 5,000,000 ",41002,รับเหมาก่อสร้าง,103 หมู่ที่ 14  ต.รอบเมือง อ.หนองพอก จ.ร้อยเอ็ด 45210
3,0453559000374,หจ.บุญรักษา ร้อยเอ็ด,9/3/2559," 4,100,000 ",41002,รับเหมาก่อสร้าง,53/8 ถนนเสนาเริ่มคิด  ต.ในเมือง อ.เมืองร้อยเอ็ด จ.ร้อยเอ็ด 45000
4,0453559000340,หจ.สิริกัจจายณะ,1/3/2559," 4,000,000 ",46322,จำหน่ายน้ำดื่มบรรจุภัณฑ์,79 หมู่ที่ 9  ต.ดินดำ อ.จังหาร จ.ร้อยเอ็ด 45000
5,0455559000163,บจ.สิงห์ เอ็นจิเนียริ่ง แอนด์ คอนสตรัคชั่น จำกัด,9/3/2559," 4,000,000 ",41002,ประกอบกิจการรับเหมาก่อสร้าง อาคารพาณิชย์ อาคารที่พักอาศัย และงานก่อสร้างอย่างอื่นทุกชนิด,17 หมู่ที่ 1  ต.เมืองหงส์ อ.จตุรพักตรพิมาน จ.ร้อยเอ็ด 45180
6,0455559000171,บจ.เอส.พี. อีสาน กรุ๊ป จำกัด,10/3/2559," 2,000,000 ",46206,จำหน่ายอาหารสัตว์,142 หมู่ที่ 7 ถนนร้อยเอ็ด-สุวรรณภูมิ  ต.บ้านดู่ อ.อาจสามารถ จ.ร้อยเอ็ด 45160
7,0453559000480,หจ.ทรัพย์ไพศาลวัสดุ,25/3/2559," 2,000,000 ",46639,จำหน่ายวัสดุก่อสร้าง,48 หมู่ที่ 9  ต.ไพศาล อ.ธวัชบุรี จ.ร้อยเอ็ด 45170
8,0455559000147,บจ.ห้าพีเอส เอ็นจิเนียริ่ง แอนด์ คอนสตรัคชั่น จำกัด,7/3/2559," 2,000,000 ",41002,ประกอบกิจการรับเหมาก่อสร้างทุกชนิด,119 หมู่ที่ 2  ต.ดงกลาง อ.จตุรพักตรพิมาน จ.ร้อยเอ็ด 45180
9,0453559000358,หจ.พาเร้นท์เทคคอม,2/3/2559," 1,000,000 ",46522,ซื้อขาย นำเข้า ส่งออกเครื่องมือสี่อสาร คอมพิวเตอร์,162 หมู่ที่ 7  ต.ในเมือง อ.เมืองร้อยเอ็ด จ.ร้อยเอ็ด 45000
10,0453559000391,หจ.ดี ซี เอ็ม มอเตอร์ แอนด์ โซลูชั่น,11/3/2559," 1,000,000 ",33141,รับซ่อม ติดตั้งมอเตอร์ไฟฟ้า ปริ้นเตอร์ แบบแลนด์ ทีวี กล้องวงจรปิด,319 หมู่ที่ 3  ต.รอบเมือง อ.เมืองร้อยเอ็ด จ.ร้อยเอ็ด 45000
11,0453559000421,หจ.โชคบุญชื่นทวีทรัพย์,15/3/2559," 1,000,000 ",41002,รับเหมาก่อสร้าง,43 หมู่ที่ 10  ต.ศรีสมเด็จ อ.ศรีสมเด็จ จ.ร้อยเอ็ด 45000
12,0453559000447,หจ.ช. มีชัยรุ่งเรืองทรัพย์,18/3/2559," 1,000,000 ",41002,รับเหมาก่อสร้าง,26 หมู่ที่ 17  ต.รอบเมือง อ.เมืองร้อยเอ็ด จ.ร้อยเอ็ด 45000
13,0453559000501,หจ.เจ.เค.เอส.เทรดดิ้ง,29/3/2559," 1,000,000 ",46900,จำหน่ายสินค้าอุปโภค-บริโภค,239 หมู่ที่ 6  ต.หนองแวง อ.เมืองร้อยเอ็ด จ.ร้อยเอ็ด 45000
14,0455559000139,บจ.รุ่งเรืองชัย 1998 จำกัด,3/3/2559," 1,000,000 ",10769,โรงงานผลิตสมุนไพรไทยและต่างประเทศ,105 หมู่ที่ 2  ต.โพธิ์ทอง อ.ศรีสมเด็จ จ.ร้อยเอ็ด 45000
15,0455559000155,บจ.ดราก้อน ดีเวลลอปเม้นท์ จำกัด,8/3/2559," 1,000,000 ",68102,ประกอบกิจการค้าที่ดิน ทำการจัดสรรที่ดินและบ้าน การจัดหาที่ดินและสิ่งก่อสร้าง,417 หมู่ที่ 7  ต.ดงลาน อ.เมืองร้อยเอ็ด จ.ร้อยเอ็ด 45000
16,0455559000180,บจ.แมค เซอร์วิส (ไทยแลนด์) จำกัด,11/3/2559," 1,000,000 ",46104,ซื้อขาย นำเข้า ส่งออก วัสดุอุปกรณ์โทรศัพท์ คอมพิวเตอร์และอุปกรณ์อิเล็กทรอนิกส์ทุกชนิด,185 หมู่ที่ 4  ต.เหนือเมือง อ.เมืองร้อยเอ็ด จ.ร้อยเอ็ด 45000
17,0455559000198,บจ.รักษาความปลอดภัย 9 ดีพิทักษ์การ์ด จำกัด,28/3/2559," 1,000,000 ",80100,ประกอบกิจการบริการรักษาความปลอดภัย,23 หมู่ที่ 5  ต.แคนใหญ่ อ.เมืองร้อยเอ็ด จ.ร้อยเอ็ด 45000
18,0453559000463,หจ.พลวิทย์ การโยธา,22/3/2559," 1,000,000 ",41002,รับเหมาก่อสร้าง และการติดตั้งงานประปา งานโยธาทุกชนิด รับเหมางานช่วง หน่วยงานรัฐและเอกชน,65 หมู่ที่ 1  ต.พนมไพร อ.พนมไพร จ.ร้อยเอ็ด 45140
19,0455559000121,บจ.น้ำดื่มไพลิน จำกัด,3/3/2559," 1,000,000 ",11041,ผลิตและจำหน่ายปลีก ส่งน้ำดื่มในรูปแบบบรรจุภัณฑ์ต่างๆ,95 หมู่บ้านบ้านคำแดง หมู่ที่ 4  ต.โพธิ์ชัย อ.พนมไพร จ.ร้อยเอ็ด 45140
20,0453559000498,หจ.ไผ่ทองชาญชัยวิศวกรรม,28/3/2559," 1,000,000 ",47525,จำหน่ายวัสดุก่อสร้าง,77 หมู่ที่ 12  ต.หนองแวง อ.เกษตรวิสัย จ.ร้อยเอ็ด 45150
21,0453559000366,หจ.นภาพร พี จี,4/3/2559," 1,000,000 ",70209,รับเป็นที่ปรึกษาฝึกอบรม รับจัดการธุรกิจเกี่ยวกับการบริหารงานการขาย,79 หมู่ที่ 1  ต.อุ่มเม้า อ.ธวัชบุรี จ.ร้อยเอ็ด 45170
22,0453559000439,หจ.พี แอนด์ พี เบสท์ โซลูชั่น,18/3/2559," 1,000,000 ",46530,จำหน่ายเครื่องมือทางการเกษตร,71 หมู่ที่ 7  ต.ไพศาล อ.ธวัชบุรี จ.ร้อยเอ็ด 45170
23,0453559000471,หจ.กรรณิกา 1982,22/3/2559," 1,000,000 ",47190,จำหน่ายเสื้อผ้า สารเคมี อุปกรณ์การเกษตร สินค้าอุปโภคบริโภค,48 หมู่ที่ 4  ต.ไพศาล อ.ธวัชบุรี จ.ร้อยเอ็ด 45170
24,0453559000412,หจ.ภูรุ่งเรืองกิจ,14/3/2559," 1,000,000 ",41002,ประกอบกิจการรับเหมาก่อสร้าง,96 หมู่ที่ 3  ต.น้ำใส อ.จตุรพักตรพิมาน จ.ร้อยเอ็ด 45180
25,0453559000382,หจ.เทพอมร 101,9/3/2559," 600,000 ",41002,รับเหมาก่อสร้าง,34 หมู่ที่ 7 ถนนปัทมนนท์  ต.รอบเมือง อ.เมืองร้อยเอ็ด จ.ร้อยเอ็ด 45000
26,0453559000404,หจ.อธิกร คอนสตรัคชั่น,14/3/2559," 600,000 ",41002,รับเหมาก่อสร้าง,24 หมู่ที่ 11  ต.สระบัว อ.ปทุมรัตต์ จ.ร้อยเอ็ด 45190
1,0463559000331,หจ.พานทองเจริญ คอนแทรคเตอร์,29/3/2559," 5,000,000 ",41002,รับเหมาก่อสร้าง,116 หมู่ที่ 9  ต.จุมจัง อ.กุฉินารายณ์ จ.กาฬสินธุ์ 46110
2,0463559000307,หจ.วิทยาจักรกล 2499,21/3/2559," 5,000,000 ",41002,ประกอบกิจการรับเหมาก่อสร้าง,202 หมู่ที่ 8  ต.ดอนสมบูรณ์ อ.ยางตลาด จ.กาฬสินธุ์ 46120
3,0463559000251,หจ.แก้วทอง การไฟฟ้า,11/3/2559," 5,000,000 ",42202,ประกอบกิจการ รับจ้างก่อสร้างระบบจำหน่ายไฟฟ้า ผลิตและจำหน่ายหม้อแปลงไฟฟ้าทุกประเภท,64 หมู่ที่ 1  ต.โนนสะอาด อ.ห้วยเม็ก จ.กาฬสินธุ์ 46170
4,0465559000104,บจ.แชมป์เปี้ยน  อินดัสเทรียล จำกัด,29/3/2559," 4,000,000 ",03221,ประกอบกิจการเลี้ยงปลาเพื่อจำหน่าย,298 หมู่ที่ 7  ต.บัวบาน อ.ยางตลาด จ.กาฬสินธุ์ 46120
5,0463559000277,หจ.รวมไม้พานิชกาฬสินธุ์(2559),14/3/2559," 3,000,000 ",46632,ขายวัสดุก่อสร้าง,2 ถนนถีนานนท์  ต.กาฬสินธุ์ อ.เมืองกาฬสินธุ์ จ.กาฬสินธุ์ 46000
6,0465559000082,บจ.บ่อทอง กาฬสินธุ์ จำกัด,8/3/2559," 2,000,000 ",38110,ให้บริการจัดเก็บ และขนส่งของเสียจากชุมชน โรงพยาบาล โรงงานอุตสาหกรรม นิคมอุตสาหกรรม ฯลฯ,288 หมู่ที่ 15  ต.หัวนาคำ อ.ยางตลาด จ.กาฬสินธุ์ 46120
7,0463559000218,หจ.วงศ์พรหมเมฆ เอ็นจิเนียริ่ง,4/3/2559," 1,000,000 ",41002,ประกอบกิจการรับเหมาก่อสร้าง,25 ถนนบาพพาสสงเปลือย  ต.กาฬสินธุ์ อ.เมืองกาฬสินธุ์ จ.กาฬสินธุ์ 46000
8,0463559000234,หจ.รุ่งชัยจิตรอินเตอร์มอส,11/3/2559," 1,000,000 ",46315,ประกอบกิจการให้บริการโรงสีข้าว,120 หมู่ที่ 13  ต.หลุบ อ.เมืองกาฬสินธุ์ จ.กาฬสินธุ์ 46000
9,0463559000242,หจ.เอ็ม.เอ็ม.เจ.เซอร์วิส,11/3/2559," 1,000,000 ",41002,รับเหมาก่อสร้าง,5 หมู่ที่ 7  ต.ห้วยโพธิ์ อ.เมืองกาฬสินธุ์ จ.กาฬสินธุ์ 46000
10,0463559000285,หจ.ส.สิริโชติ วู๊ดชิพ,16/3/2559," 1,000,000 ",16101,ประกอบกิจการผลิตและจำหน่ายไม้สับทุกชนิด,155 หมู่ที่ 4  ต.ไผ่ อ.เมืองกาฬสินธุ์ จ.กาฬสินธุ์ 46000
11,0463559000315,หจ.จิตรสมบูรณ์,22/3/2559," 1,000,000 ",41002,รับเหมาก่อสร้าง,121 หมู่ที่ 8  ต.ห้วยโพธิ์ อ.เมืองกาฬสินธุ์ จ.กาฬสินธุ์ 46000
12,0463559000340,หจ.บุญรอดเพาเวอร์คอนสตรัคชั่น,30/3/2559," 1,000,000 ",41002,ประกอบกิจการรับเหมาก่อสร้าง,39 ถนนหนองทุ่ม  ต.กาฬสินธุ์ อ.เมืองกาฬสินธุ์ จ.กาฬสินธุ์ 46000
13,0465559000091,บจ.เลิฟ บีท โฮเทล จำกัด,18/3/2559," 1,000,000 ",55101,ประกอบกิจการโรงแรม,419 หมู่ที่ 5  ต.โพนทอง อ.เมืองกาฬสินธุ์ จ.กาฬสินธุ์ 46000
14,0463559000269,หจ.บุญหล้า  การโยธา,11/3/2559," 1,000,000 ",41002,รับเหมาก่อสร้าง,219 หมู่ที่ 5  ต.โนนสูง อ.ยางตลาด จ.กาฬสินธุ์ 46120
15,0463559000323,หจ.ส.การช่าง 1989,25/3/2559," 1,000,000 ",41002,ประกอบกิจการรับเหมาก่อสร้าง,59 หมู่ที่ 9  ต.หัวนาคำ อ.ยางตลาด จ.กาฬสินธุ์ 46120
16,0463559000200,หจ.สหวัสดุ,4/3/2559," 1,000,000 ",41002,ประกอบกิจการรับเหมาก่อสร้าง,269 หมู่ที่ 2  ต.หนองแปน อ.กมลาไสย จ.กาฬสินธุ์ 46130
17,0463559000226,หจ.ศรีอินทรา,9/3/2559," 1,000,000 ",41002,รับเหมาก่อสร้างอาคาร งานก่อสร้างอย่างอื่นทุกชนิด รวมทั้งรับทำงานโยธาทุกประเภท,162 หมู่ที่ 5  ต.นาคู อ.นาคู จ.กาฬสินธุ์ 46160
18,0465559000074,บจ.ประมุขการยาง 2532 จำกัด,4/3/2559," 1,000,000 ",45302,ค้ายางรถยนต์ทุกชนิดทุกประเภท,50 หมู่ที่ 7  ต.หนองใหญ่ อ.หนองกุงศรี จ.กาฬสินธุ์ 46220
19,0463559000293,หจ.กมลาไสยพลังงานทดแทน,16/3/2559," 500,000 ",35101,ประกอบกิจการผลิตและจำหน่ายไฟฟ้า,189 หมู่ที่ 3  ต.หลักเมือง อ.กมลาไสย จ.กาฬสินธุ์ 46130
1,0475559000121,บจ.มารวยสกลนคร เซฟตี้การ์ด จำกัด,3/3/2559," 5,000,000 ",80100,ประกอบกิจการรักษาความปลอดภัยส่วนบุคคล,55/12 ถนนประชาอุทิศ  ต.ธาตุเชิงชุม อ.เมืองสกลนคร จ.สกลนคร 47000
2,0475559000147,บจ.นันตรา คอมมูนิตี้ จำกัด,23/3/2559," 4,000,000 ",68104,ประกอบกิจการเช่าและดำเนินการเกี่ยวกับอสังหาริมทรัพย์ที่เป็นของตนเองหรือเช่าจากผู้อื่นที่ไม่ใช่เป็นที,275/17 ถนนประชาอุทิศ  ต.ธาตุเชิงชุม อ.เมืองสกลนคร จ.สกลนคร 47000
3,0473559000421,หจ.ป.เพชรรุ่งเรือง,16/3/2559," 3,000,000 ",46315,ประกอบกิจการจำหน่ายข้าวสารและสินค้าเบ็ดเตล็ด,126/4 ถนนรัฐบำรุง  ต.ธาตุเชิงชุม อ.เมืองสกลนคร จ.สกลนคร 47000
4,0473559000382,หจ.โฮมทรัพย์การค้า,9/3/2559," 3,000,000 ",41001,การก่อสร้างอาคารที่พักอาศัย,130 หมู่บ้านดอนดู่ หมู่ที่ 6  ต.ต้นผึ้ง อ.พังโคน จ.สกลนคร 47160
