นิติบุคคลจัดตั้งเดือนพฤษภาคม  2559,,,,,,,
ทั่วประเทศ,,,,,,,
ที่,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ","รหัส
วัตถุประสงค์",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่
26,0245559001382,บจ.แก้วหอม พลาสติก รีไซเคิล จำกัด,24/5/2559," 1,000,000 ",25922,ประกอบกิจการเกี่ยวกับงานเชื่อมโลหะสำหรับชั้นวางและงานพ่นสี,20/3 หมู่ที่ 2  ต.หนองจอก อ.บางปะกง จ.ฉะเชิงเทรา 24130
27,0245559001358,บจ.พุฒธิดา มิวสิค จำกัด,19/5/2559," 1,000,000 ",85422,ประกอบกิจการโรงเรียนสอนดนตรี,36 หมู่ที่ 1  ต.หนองตีนนก อ.บ้านโพธิ์ จ.ฉะเชิงเทรา 24140
28,0243559000520,หจ.ขุมทรัพย์มั่งมี,16/5/2559," 1,000,000 ",47595,ประกอบกิจการจำหน่ายแอร์ คอมพิวเตอร์ ทรวมทั้งอะไหล่และอุปกรณ์ของสินค้าดังกล่าวทุกประเภท,240 หมู่ที่ 1  ต.ทุ่งพระยา อ.สนามชัยเขต จ.ฉะเชิงเทรา 24160
29,0243559000562,หจ.จิราภา รับเหมาก่อสร้าง,17/5/2559," 1,000,000 ",41002,รับเหมาก่อสร้าง,58 หมู่ที่ 12  ต.ทุ่งพระยา อ.สนามชัยเขต จ.ฉะเชิงเทรา 24160
30,0245559001307,บจ.สำราญจิต จำกัด,17/5/2559," 1,000,000 ",41002,ประกอบกิจการรับเหมาก่อสร้างอาคาร และงานก่อสร้าง อย่างอื่นทุกชนิด,93/9 หมู่ที่ 14  ต.คู้ยายหมี อ.สนามชัยเขต จ.ฉะเชิงเทรา 24160
31,0243559000546,หจ.พาเจริญอินเตอร์เทรด,17/5/2559," 1,000,000 ",15121,ประกอบกิจการผลิต ผลิตภัณฑ์ประเภทกระเป๋า,53/4 หมู่ที่ 1  ต.ดอนเกาะกา อ.บางน้ำเปรี้ยว จ.ฉะเชิงเทรา 24170
32,0243559000503,หจ.ทีเอ็นเค ออโต้ไบค์,11/5/2559," 1,000,000 ",45402,ประกอบกิจการจำหน่ายอะไหล่ รถจักรยานยนต์ทุกชนิด,52/92 หมู่ที่ 14 ถนนจรัญายานนท์  ต.บางวัว อ.บางปะกง จ.ฉะเชิงเทรา 24180
33,0245559001251,บจ.ทาสก์ เซอร์วิส แอนด์ ซัพพลาย จำกัด,13/5/2559," 1,000,000 ",46639,จำหน่าย อิฐ หิน ปูน ทราย วัสดุและอุปกรณ์ เครื่องมือ เครื่องใช้ ที่ใช้ในการก่อสร้างทุกชนิด,1/304 หมู่ที่ 3  ต.บางสมัคร อ.บางปะกง จ.ฉะเชิงเทรา 24180
34,0245559001315,บจ.ไพษร  กรุ๊ป (ประเทศไทย) จำกัด,18/5/2559," 1,000,000 ",47723,ประกอบกิจการจัดจำหน่ายผลิตภัณฑ์ความงามและอาหารเสริมทุกประเภท,2/46 หมู่ที่ 1  ต.บางสมัคร อ.บางปะกง จ.ฉะเชิงเทรา 24180
35,0245559001200,บจ.รักษาความปลอดภัย เอส.พี.การ์ด แอนด์ เซอร์วิส จำกัด,3/5/2559," 1,000,000 ",80100,ประกอบกิจการบริการส่งเจ้าหน้าที่รักษาความปลอดภัยไปดูแลความปลอดภัย ตามบริษัทและที่อยู่อาศัย,95/122 หมู่ที่ 1  ต.วังเย็น อ.แปลงยาว จ.ฉะเชิงเทรา 24190
36,0245559001277,บจ.เฮลท์แคร์ 168 จำกัด,13/5/2559," 900,000 ",46433,ประกอบกิจการจำหน่ายสินค้า กีฬา ฟิสเน็ต และอุปกรณ์,13 ถนนฉะเชิงเทรา-พนมสารคาม  ต.หน้าเมือง อ.เมืองฉะเชิงเทรา จ.ฉะเชิงเทรา 24000
37,0245559001340,บจ.เท็กซ์ไลน์เนอร์ แอสโซซิเอท จำกัด,19/5/2559," 500,000 ",58191,ออกแบบป้าย สติกเกอร์ โลหะ สแตนเลส ติดตั้งฝ้า ผนังเบา ตกแต่งภายใน,8/1 หมู่ที่ 1  ต.หนามแดง อ.เมืองฉะเชิงเทรา จ.ฉะเชิงเทรา 24000
38,0245559001374,บจ.ลุล่วงด้วยดี จำกัด,23/5/2559," 500,000 ",46695,รับซื้อขาย คัดแยก พลาสติก และล้างทำความสะอาดพลาสติก,12 หมู่ที่ 5  ต.คลองอุดมชลจร อ.เมืองฉะเชิงเทรา จ.ฉะเชิงเทรา 24000
39,0243559000619,หจ.ทีเอส.ถนอมสิงห์  ทรานสปอร์ต,27/5/2559," 400,000 ",49323,ประกอบกิจการขนส่งผู้โดยสารทางบก,22/1 หมู่ที่ 20  ต.ศาลาแดง อ.บางน้ำเปรี้ยว จ.ฉะเชิงเทรา 24000
40,0243559000589,หจ.แปดริ้ว มอเตอร์ เซอร์วิส,18/5/2559," 300,000 ",33141,ประกอบกิจการให้บริการซ่อมแซม บำรุงรักษา ตรวจสอบ มอเตอร์ไดนาโม อุปกรณ์ไฟฟ้า ของโรงงานอุตสาหกรรม,19/9 หมู่ที่ 18  ต.ดอนฉิมพลี อ.บางน้ำเปรี้ยว จ.ฉะเชิงเทรา 24170
41,0243559000481,หจ.ป.พาลเลท รีไซเคิล,3/5/2559," 200,000 ",16230,ประกอบกิจการรับสั่งทำไม้พาเลท ไม้ลัง ทุกขนาด,3/7 หมู่ที่ 1 ถนนบางปะกง-ฉะเชิงเทรา  ต.ลาดขวาง อ.บ้านโพธิ์ จ.ฉะเชิงเทรา 24000
1,0255559000734,บจ.ศรีสมบุญ เพาเวอร์แพลนท์ จำกัด,27/5/2559," 5,000,000 ",35101,ผลิตและจำหน่ายกระแสไฟฟ้า,88 หมู่ที่ 3  ต.ดงบัง อ.ประจันตคาม จ.ปราจีนบุรี 25130
2,0253559000473,หจ.ออโต้ เซอร์วิส 2012,30/5/2559," 5,000,000 ",41002,รับเหมาก่อสร้าง,609/88 หมู่ที่ 7  ต.ท่าตูม อ.ศรีมหาโพธิ จ.ปราจีนบุรี 25140
3,0255559000718,บจ.โชคกับชัย จำกัด,25/5/2559," 3,000,000 ",41002,ประกอบกิจการรับเหมาก่อสร้าง สถานที่ทำการ ถนน สะพาน และงานก่อสร้างอย่างอื่นทุกชนิด,105 หมู่ที่ 4  ต.บ่อทอง อ.กบินทร์บุรี จ.ปราจีนบุรี 25110
4,0255559000726,บจ.เค.เอส.ดับเบิ้ลเค.เซอร์วิส จำกัด,26/5/2559," 1,500,000 ",82990,รับเหมาประมูลงาน ดูแลเครื่องยนต์ รถยนต์ ยานพาหนะ,177/53 หมู่ที่ 2  ต.ท่าตูม อ.ศรีมหาโพธิ จ.ปราจีนบุรี 25140
5,0255559000661,บจ.ณัชชา 2559 ทรานสปอร์ต จำกัด,11/5/2559," 1,000,000 ",49339,ประกอบกิจการ  ขนส่งทั่วไป,2/25 ถนนสฤษฏ์ยุทธศิลป์  ต.หน้าเมือง อ.เมืองปราจีนบุรี จ.ปราจีนบุรี 25000
6,0255559000751,บจ.ไทย รับเบอร์ เซ็นเตอร์ จำกัด,30/5/2559," 1,000,000 ",46900,จำหน่ายสินค้าทั่วไป,106 หมู่ที่ 8  ต.รอบเมือง อ.เมืองปราจีนบุรี จ.ปราจีนบุรี 25000
7,0253559000422,หจ.ช.สมบัติ ทีม,10/5/2559," 1,000,000 ",41002,รับเหมาก่อสร้าง,113 หมู่ที่ 6  ต.หนองกี่ อ.กบินทร์บุรี จ.ปราจีนบุรี 25110
8,0255559000637,บจ.ที่นอน ยูคอมฟอร์ท จำกัด,3/5/2559," 1,000,000 ",31003,ประกอบกิจการผลิตที่นอนและชุดเครื่องนอน,283 หมู่ที่ 2  ต.กบินทร์ อ.กบินทร์บุรี จ.ปราจีนบุรี 25110
9,0255559000688,บจ.อินเตอร์เทค เอ็นจิเนียริ่ง (ไทยแลนด์) จำกัด,18/5/2559," 1,000,000 ",33121,ซ่อมแซม บำรุง รักษา ติดตั่ง เครื่องจักรกล,10 หมู่ที่ 1  ต.ลาดตะเคียน อ.กบินทร์บุรี จ.ปราจีนบุรี 25110
10,0255559000700,บจ.เอเบิลฮอลิเดย์ จำกัด,25/5/2559," 1,000,000 ",79909,ประกอบกิจการบริการจัดหาโรงแรม สถานที่พักตากอากาศ สถานที่พักและบริการสุขภาพ บ้านพักชั่วคราว แพพัก,88/2 หมู่บ้านใหม่โคกอุดม หมู่ที่ 9  ต.หนองกี่ อ.กบินทร์บุรี จ.ปราจีนบุรี 25110
11,0253559000457,หจ.กนกวรรณพัฒนาไม้คิว,24/5/2559," 1,000,000 ",32309,ประกอบกิจการรับจ้างผลิตไม้คิวและโต๊ะสนุ๊กเกอร์ ภายในครัวเรือน,74 หมู่ที่ 5  ต.บ้านหอย อ.ประจันตคาม จ.ปราจีนบุรี 25130
12,0253559000465,หจ.ส.สมเจตนา การช่าง,25/5/2559," 1,000,000 ",41002,รับเหมาก่อสร้าง งานช่าง,606/183 หมู่ที่ 10  ต.ท่าตูม อ.ศรีมหาโพธิ จ.ปราจีนบุรี 25140
13,0255559000645,บจ.ซันโกลด์ ซัพพลายส์ จำกัด,10/5/2559," 1,000,000 ",46691,ประกอบกิจการค้า ผลิตภัณฑ์เคมีภัณฑ์อุตสาหกรรมในโรงงานอุตสาหกรรม,558/6 หมู่ที่ 7  ต.ท่าตูม อ.ศรีมหาโพธิ จ.ปราจีนบุรี 25140
14,0255559000696,บจ.ก.เจริญทรัพย์ ก่อสร้าง จำกัด,23/5/2559," 1,000,000 ",41002,รับเหมาก่อสร้าง,353/45 หมู่ที่ 7  ต.ท่าตูม อ.ศรีมหาโพธิ จ.ปราจีนบุรี 25140
15,0255559000742,บจ.รุ่งเรือง ทูลส์ 2016 จำกัด,27/5/2559," 1,000,000 ",46593,ขายส่งเครื่องจักรอุตสาหกรรม,70/1 หมู่ที่ 4  ต.โคกไทย อ.ศรีมโหสถ จ.ปราจีนบุรี 25140
16,0255559000670,บจ.พรีเมียร์ เอเจนซี่ จำกัด,13/5/2559," 1,000,000 ",46433,จำหน่ายชุดกีฬา และอุปกรณ์ทางการกีฬา,251/11 หมู่ที่ 6  ต.บุพราหมณ์ อ.นาดี จ.ปราจีนบุรี 25220
17,0255559000653,บจ.เวโรน่า มาร์เก็ตติ้ง จำกัด,10/5/2559," 1,000,000 ",66199,ประกอบกิจการรับดูแลผลประโยชน์,408/2 หมู่ที่ 8  ต.เมืองเก่า อ.กบินทร์บุรี จ.ปราจีนบุรี 25240
18,0253559000431,หจ.ชื่นชูผลกรุ๊ป,13/5/2559," 500,000 ",41002,รับเหมาก่อสร้าง,134 หมู่ที่ 11  ต.วังท่าช้าง อ.กบินทร์บุรี จ.ปราจีนบุรี 25110
19,0253559000449,หจ.ภิรมณ 59,16/5/2559," 500,000 ",49323,ประกอบกิจการขนส่งสินค้า และขนถ่ายสินค้า,5 หมู่ที่ 17  ต.หัวหว้า อ.ศรีมหาโพธิ จ.ปราจีนบุรี 25140
1,0265559000211,บจ.รักษาความปลอดภัย เอ.เอ็ม.เอส. จำกัด,10/5/2559," 2,000,000 ",80100,ประกอบกิจกรรมการรักษาความปลอดภัย,171/5 หมู่ที่ 3  ต.พรหมณี อ.เมืองนครนายก จ.นครนายก 26000
2,0265559000220,บจ.ปัญญาครีเอทีฟ จำกัด,26/5/2559," 2,000,000 ",68102,ซื้อ ขาย อสังหาริมทรัพย์ ออกแบบรับเหมาก่อสร้าง,67/1 หมู่ที่ 4  ต.ศรีนาวา อ.เมืองนครนายก จ.นครนายก 26000
3,0263559000121,หจ.สำราญวิศวกรรมก่อสร้าง,13/5/2559," 500,000 ",41002,รับเหมาก่อสร้าง,111 หมู่ที่ 10  ต.บางปลากด อ.องครักษ์ จ.นครนายก 26120
4,0263559000139,หจ.พรชัย โฮมเซอร์วิส,26/5/2559," 150,000 ",70209,ประกอบกิจการรับเป็นผู้บริหารงานเกี่ยวกับด้านพาณิชยกรรม การตลาดและจัดจำหน่าย,80 หมู่ที่ 2  ต.เขาเพิ่ม อ.บ้านนา จ.นครนายก 26110
1,0275559000254,บจ.มิสซ่า บราเธอร์ จำกัด,4/5/2559," 2,000,000 ",46414,ประกอบกิจการ จำหน่ายเสื้อผ้าสำเร็จรูป,2553/2 หมู่ที่ 1  ต.วังน้ำเย็น อ.วังน้ำเย็น จ.สระแก้ว 27210
2,0273559000333,หจ.อัครแสงทรานสปอร์ต,13/5/2559," 1,500,000 ",49339,การขนส่งสินค้าที่บรรจุในตู้คอนเทนเนอร์ทางถนน การขนส่งสินค้าทางถนน,151 หมู่ที่ 11  ต.หนองหว้า อ.เขาฉกรรจ์ จ.สระแก้ว 27000
3,0275559000271,บจ.ยูโร่สระแก้ว จำกัด,11/5/2559," 1,000,000 ",46316,ประกอบกิจการเป็นตัวแทนจำหน่ายปลีก-ส่ง ผลิตภัณฑ์ยูโร่เค็กและบริการส่งเสริมการขายอย่างอื่น,354/43 ถนนสุวรรณศร  ต.สระแก้ว อ.เมืองสระแก้ว จ.สระแก้ว 27000
4,0273559000341,หจ.เหล่าอ้อย สหมิตร,19/5/2559," 1,000,000 ",41002,ประกอบกิจการรับเหมาก่อสร้าง,11 หมู่ที่ 6  ต.หนองสังข์ อ.อรัญประเทศ จ.สระแก้ว 27120
5,0275559000262,บจ.คอฟฟี่ คูล จำกัด,4/5/2559," 1,000,000 ",47222,ร้านกาแฟ,533 ถนนกม 5 ฝั่งซ้าย  ต.อรัญประเทศ อ.อรัญประเทศ จ.สระแก้ว 27120
6,0275559000289,บจ.จีบี อรัญ สไลด์ คาร์ จำกัด,24/5/2559," 1,000,000 ",41002,ประกอบกิจการ รับเหมาก่อสร้าง อาคารพาณิชย์ อาคารที่พักอาศัย อาคารสำนักงาน สถานที่ราชการ,197 หมู่ที่ 2  ต.บ้านใหม่หนองไทร อ.อรัญประเทศ จ.สระแก้ว 27120
7,0273559000350,หจ.ศรเจริญ คอนสตรัคชั่น,25/5/2559," 1,000,000 ",47524,ขายวัสดุก่อสร้างทุกประเภท,215 หมู่ที่ 5  ต.ท่าเกวียน อ.วัฒนานคร จ.สระแก้ว 27160
8,0273559000368,หจ.รุ่งเรือง 2515,25/5/2559," 1,000,000 ",47524,ขายวัสดุก่อสร้างทุกประเภท,59 หมู่ที่ 8  ต.ท่าเกวียน อ.วัฒนานคร จ.สระแก้ว 27160
9,0273559000325,หจ.ภูมิบวรการช่าง,12/5/2559," 1,000,000 ",43210,ประกอบกิจการรับเหมางานออกแบบ ติดตั้ง ตรวจสอบ วางระบบไฟฟ้า ตามบ้าน อาคาร โรงงาน อาคารสูง,282 หมู่ที่ 3  ต.คลองหาด อ.คลองหาด จ.สระแก้ว 27260
10,0273559000384,หจ.ศรีลุวัฒน์ก่อสร้าง,30/5/2559," 1,000,000 ",41002,รับเหมาก่อสร้างทุกประเภท,50 หมู่ที่ 3  ต.ไทรเดี่ยว อ.คลองหาด จ.สระแก้ว 27260
11,0273559000317,หจ.ซอฟต์แวร์ อีโวลูชั่น,11/5/2559," 800,000 ",46104,ประกอบกิจการตัวแทนจำหน่ายอุปกรณ์ไอที พัฒนาซอฟต์แวร์,72/18 ถนนกม.2 ฝั่งซ้าย  ต.อรัญประเทศ อ.อรัญประเทศ จ.สระแก้ว 27120
12,0273559000309,หจ.อุดมบาดาล,4/5/2559," 500,000 ",43120,รับขุดเจาะบ่อน้ำบาดาล,30/2 หมู่ที่ 6  ต.บ้านใหม่หนองไทร อ.อรัญประเทศ จ.สระแก้ว 27120
13,0273559000376,หจ.ธนโชติ 2016 ทรานสปอร์ต,27/5/2559," 300,000 ",49323,ประกอบกิจการขนส่งต่างด้าว,213 หมู่ที่ 8  ต.ป่าไร่ อ.อรัญประเทศ จ.สระแก้ว 27120
1,0305559002205,บจ.มิตรภาพอุตสาหกรรมนครราชสีมา จำกัด,16/5/2559," 10,000,000 ",10795,ตั้งโรงงานผลิตน้ำแข็งและกิจการห้องเย็น,1274/2 ถนนมิตรภาพ  ต.ในเมือง อ.เมืองนครราชสีมา จ.นครราชสีมา 30000
2,0303559002131,หจ.สิริประภาภัทร,2/5/2559," 5,000,000 ",47113,ร้านสะดวกซื้อ ร้านอาหารและเครื่องดื่ม,257 หมู่ที่ 2 ถนนเพชรมาตุคลา  ต.หัวทะเล อ.เมืองนครราชสีมา จ.นครราชสีมา 30000
3,0305559002060,บจ.เสมานคร ก่อสร้าง จำกัด,10/5/2559," 5,000,000 ",41002,ประกอบกิจการรับเหมาก่อสร้าง,171 หมู่ที่ 3  ต.หนองหญ้าขาว อ.สีคิ้ว จ.นครราชสีมา 30140
4,0305559002256,บจ.เค เอส เอ็ม ซัพพลาย จำกัด,19/5/2559," 5,000,000 ",46530,นำเข้า-ส่งออก เครื่องจักรกล เครื่องมืออุปกรณ์การเกษตรทั้งในและต่างประเทศ,457 หมู่ที่ 9  ต.บ้านใหม่ อ.ครบุรี จ.นครราชสีมา 30250
5,0305559002108,บจ.หยวน ออโต้ไทร์ จำกัด,11/5/2559," 5,000,000 ",45301,จำหน่ายยางรถยนต์ทุกชนิด,201 หมู่ที่ 3  ต.โคกกรวด อ.เมืองนครราชสีมา จ.นครราชสีมา 30280
6,0305559002329,บจ.เลิศอัครวิศวกรรม จำกัด,23/5/2559," 3,000,000 ",41002,รับเหมาก่อสร้างต่างๆ รวมทั้งงานโยธาทุกประเภท,588/105 หมู่ที่ 10  ต.โคกกรวด อ.เมืองนครราชสีมา จ.นครราชสีมา 30280
7,0305559002027,บจ.อุดมสุข นิว พรอพเพอร์ตี้ จำกัด,4/5/2559," 2,500,000 ",64929,ให้กู้ยืมเงินหรือให้เครดิตด้วยวิธีอื่น รับจำนอง รับจำนองเฉพาะส่วน รับซื้อฝาก ไถ่ถอนจำนอง,214 หมู่ที่ 3  ต.ในเมือง อ.พิมาย จ.นครราชสีมา 30110
8,0303559002441,หจ.ทนนท์ คอนสตรัคชั่น,30/5/2559," 2,000,000 ",41002,รับเหมาก่อสร้างต่างๆ รวมงานโยธาทุกประเภท,275 หมู่ที่ 1  ต.ไชยมงคล อ.เมืองนครราชสีมา จ.นครราชสีมา 30000
9,0305559002299,บจ.ศรีดามา เอ็นจิเนียริ่ง จำกัด,23/5/2559," 2,000,000 ",82990,รับจ้างประมูลงานระบบอิเล็กทรอนิกส์ รับเหมาก่อสร้างต่างๆ,989/8 หมู่ที่ 2  ต.สุรนารี อ.เมืองนครราชสีมา จ.นครราชสีมา 30000
10,0305559002434,บจ.ต้นสาธรกรุ๊ป จำกัด,30/5/2559," 2,000,000 ",41002,รับเหมาก่อสร้างอาคาร ที่พักอาศัย และที่ไม่ใช่ที่พักอาศัย,294/1 ถนนเบญจรงค์  ต.ในเมือง อ.เมืองนครราชสีมา จ.นครราชสีมา 30000
11,0305559002175,บจ.ไทย บีกรีน โปรดักชั่นส์ จำกัด,16/5/2559," 2,000,000 ",20121,ผลิตและจำหน่ายปุ๋ยอินทรีย์ และผลิตภัณฑ์ที่เกี่ยวข้องทุกชนิด,162 ถนนมิตรภาพ  ต.ปากช่อง อ.ปากช่อง จ.นครราชสีมา 30130
12,0305559002248,บจ.เขาใหญ่ 33 กอล์ฟ จำกัด,19/5/2559," 2,000,000 ",93111,ประกอบกิจการให้บริการสนามกอล์ฟ สนามไดร์กอล์ฟ,56 หมู่ที่ 4  ต.วังไทร อ.ปากช่อง จ.นครราชสีมา 30130
13,0303559002238,หจ.บุษบา เมทัลไลค์ ราชสีมา,12/5/2559," 2,000,000 ",47524,จำหน่ายและติดตั้งฉนวนกันความร้อนแผ่นหลังคาเหล็ก,53/24 หมู่ที่ 9  ต.วังโรงใหญ่ อ.สีคิ้ว จ.นครราชสีมา 30140
14,0305559002221,บจ.กุลธรเทรดดิ้ง แอนด์ ซัพพลายส์ จำกัด,18/5/2559," 2,000,000 ",46412,จำหน่ายของใช้ในครัวเรือนจากสิ่งทอ,145/3 หมู่ที่ 6  ต.ลาดบัวขาว อ.สีคิ้ว จ.นครราชสีมา 30140
15,0303559002335,หจ.ศิลประสิทธิ์ คอนสตรัคชั่น,19/5/2559," 2,000,000 ",41002,รับเหมาก่อสร้างต่างๆ จำหน่ายวัสดุก่อสร้างทุกชนิด,265 หมู่ที่ 6  ต.โคกกรวด อ.เมืองนครราชสีมา จ.นครราชสีมา 30280
16,0303559002467,หจ.กุลธิดาพร ขนส่ง,30/5/2559," 2,000,000 ",49339,รับจ้างขนส่งสินค้าทุกประเภท,17 หมู่ที่ 4  ต.ชีวึก อ.ขามสะแกแสง จ.นครราชสีมา 30290
17,0303559002271,หจ.เอส พี ดี การโยธา,16/5/2559," 2,000,000 ",41002,รับเหมาก่อสร้างต่างฯ รวมงานโยธาทุกประเภท,212 หมู่ที่ 10  ต.วังน้ำเขียว อ.วังน้ำเขียว จ.นครราชสีมา 30370
18,0303559002351,หจ.มีทรัพย์ดี,23/5/2559," 1,800,000 ",47190,จำหน่ายเม็ดมะม่วงหิมพานต์ กระเพาะปลา อาหารสด-แห้ง สินค้าอุปโภคบริโภคทุกชนิด,90/20 ถนนเทศบาล 9  ต.บัวใหญ่ อ.บัวใหญ่ จ.นครราชสีมา 30120
19,0303559002301,หจ.ช.ที.เอ็ม.ลิซซิ่ง โนนสูง,17/5/2559," 1,400,000 ",64991,ให้กู้ยืมเงิน เว้นแต่ในธุรกิจธนาคาร ธุรกิจเงินทุน และธุรกิจเครดิตฟองซิเอร์,132/6 ถนนโนนสูง-มิตรภาพ  ต.โนนสูง อ.โนนสูง จ.นครราชสีมา 30160
20,0303559002165,หจ.ไกรพร  คอนสตรัคชัน,4/5/2559," 1,000,000 ",41002,รับเหมาก่อสร้างอาคาร อาคารพาณิชย์ฯ,1029 หมู่ที่ 4  ต.หนองจะบก อ.เมืองนครราชสีมา จ.นครราชสีมา 30000
21,0303559002173,หจ.พีทีเอฟ คอนสตรัคชั่นแอนด์ดีไซน์,4/5/2559," 1,000,000 ",41002,รับเหมาก่อสร้างอาคาร อาคารพาณิชย์ฯ,665/3 ถนนช้างเผือก  ต.ในเมือง อ.เมืองนครราชสีมา จ.นครราชสีมา 30000
22,0303559002203,หจ.เจหนิง ทรานสปอร์ต,10/5/2559," 1,000,000 ",49323,ประกอบกิจการขนส่งและขนถ่ายสินค้าทั้งภายในและระหว่างประเทศ,2951/20 ถนนสืบศิริ  ต.ในเมือง อ.เมืองนครราชสีมา จ.นครราชสีมา 30000
23,0303559002246,หจ.จารุพร ขนส่งและการโยธา,12/5/2559," 1,000,000 ",43120,ประกอบกิจการรับถมดิน รับปรับสภาพพื้นผิวดิน,1273/4 หมู่ที่ 4  ต.หนองจะบก อ.เมืองนครราชสีมา จ.นครราชสีมา 30000
24,0303559002289,หจ.เคมีคอล ฟิวชั่น,16/5/2559," 1,000,000 ",47721,จำหน่ายยา ยารักษาโรค เภสัชภัณฑ์ เคมีภัณฑ์ เครื่องมือแพทย์,888/235 หมู่ที่ 8  ต.หนองบัวศาลา อ.เมืองนครราชสีมา จ.นครราชสีมา 30000
25,0303559002408,หจ.ไพรินทร์ แฮม ซัพพลาย,24/5/2559," 1,000,000 ",49209,รับจ้างรับส่งพนักงาน,56 หมู่ที่ 5  ต.ปรุใหญ่ อ.เมืองนครราชสีมา จ.นครราชสีมา 30000
26,0303559002432,หจ.ช่างเมืองโรงสีข้าว,27/5/2559," 1,000,000 ",28250,ผลิต จำหน่าย อะไหล่และอุปกรณ์เกี่ยวกับโรงสีข้าว รวมทั้งให้บริการติดตั้ง,103 ซอยท้าวสุระ 2  ต.ในเมือง อ.เมืองนครราชสีมา จ.นครราชสีมา 30000
27,0303559002459,หจ.ชัยมงคล โฟรเซ่นฟู้ด (โคราช),30/5/2559," 1,000,000 ",46319,จำหน่ายอาหาร แช่แข็ง และแปรรูปอาหาร,374 หมู่ที่ 1  ต.ไชยมงคล อ.เมืองนครราชสีมา จ.นครราชสีมา 30000
28,0305559002019,บจ.ข่าเหลืองโคราช จำกัด,2/5/2559," 1,000,000 ",01289,ผลิต(ปลูก) จัดหา รับซื้อวัตถุดิบ จำหน่ายพันธ์พืช ข่าเหลือง ตะไคร้ ใบมะกรูด,800/4 ถนนมิตรภาพ  ต.ในเมือง อ.เมืองนครราชสีมา จ.นครราชสีมา 30000
29,0305559002043,บจ.เฟรนลี่ครีเอท จำกัด,4/5/2559," 1,000,000 ",62011,ออกแบบโครงสร้างและเนื้อหาของเว็บเพจและ/หรือการเขียนโปรแกรมคอมพิวเตอร์,1111/2 หมู่ที่ 10  ต.สุรนารี อ.เมืองนครราชสีมา จ.นครราชสีมา 30000
30,0305559002132,บจ.ลาวิลล่าเขาใหญ่ จำกัด,12/5/2559," 1,000,000 ",68102,ประกอบกิจการค้าอสังหาริมทรัพย์และอสังหาริมทรัพย์พร้อมสิ่งปลูกสร้าง รวมจัดสรรที่ดินแบ่งขาย,298/35 ซอยมิตรภาพ 4  ต.ในเมือง อ.เมืองนครราชสีมา จ.นครราชสีมา 30000
31,0305559002141,บจ.โชคบารมี 1996 จำกัด,12/5/2559," 1,000,000 ",46900,จำหน่ายสินค้าอุปโภคบริโภค เครื่องนุ่งห่ม เครื่องประดับฯ,438/9 หมู่ที่ 1  ต.หัวทะเล อ.เมืองนครราชสีมา จ.นครราชสีมา 30000
32,0305559002159,บจ.เดอะ ซิส โคราช คลินิก จำกัด,13/5/2559," 1,000,000 ",96104,ประกอบกิจการเสริมความงาม,1242/2 ถนนมิตรภาพ  ต.ในเมือง อ.เมืองนครราชสีมา จ.นครราชสีมา 30000
33,0305559002213,บจ.พีพี สมาร์ท โปรดักส์ จำกัด,17/5/2559," 1,000,000 ",62021,ให้คำปรึกษาทางด้านฮาร์ดแวร์และซอฟต์แวร์,683/8 ถนนกีฬากลาง  ต.ในเมือง อ.เมืองนครราชสีมา จ.นครราชสีมา 30000
34,0305559002264,บจ.แซสซี่ เนล บิวตี้ (โกลบอล) จำกัด,19/5/2559," 1,000,000 ",46443,ค้าส่งค้าปลีกผลิตภัณฑ์น้ำยาทาเล็บ อุปกรณ์ตกแต่งเล็บฯ,380/51 ซอยมิตรภาพ 13  ต.ในเมือง อ.เมืองนครราชสีมา จ.นครราชสีมา 30000
35,0305559002302,บจ.ดี เอ็ม พี อินเตอร์เทรด จำกัด,23/5/2559," 1,000,000 ",46311,จำหน่ายสัตว์ที่ไม่มีชีวิต เนื้อส่วนต่างๆ รักษาสภาพไว้ชั่วคราวระหว่างขนส่งด้วยการแช่เย็นฯ,537 หมู่ที่ 5  ต.บ้านใหม่ อ.เมืองนครราชสีมา จ.นครราชสีมา 30000
36,0305559002311,บจ.สุนทราวาณิชย์รุ่งเรือง จำกัด,23/5/2559," 1,000,000 ",46102,ตัวแทนจำหน่ายนมเปรี้ยวยาคูลท์,444/3 หมู่ที่ 4  ต.ปรุใหญ่ อ.เมืองนครราชสีมา จ.นครราชสีมา 30000
37,0305559002337,บจ.พีไอ โปรเฟสชั่นแนล เซอร์วิส ซัพพลาย จำกัด,23/5/2559," 1,000,000 ",46522,ออกแบบ จำหน่าย ติดตั้ง บำรุงรักษา ระบบสายส่ง ระบบโทรคมนาคม ระบบส่งสัญญาณโทรศัพท์เคลื่อนที่,777/117 หมู่ที่ 8  ต.หนองบัวศาลา อ.เมืองนครราชสีมา จ.นครราชสีมา 30000
